Internal ID,FLAT_IMAGES,DESCRIPTION,TAGS,SWATCH,DETAILS,LOOK_IMAGE
S126-8813 KWM014 000406 BERRY BLUE MEL,,x,x,,,
S126-8813 KWM014 000454 ASH BLUE MEL,,x,x,,,
S126-8816 KWS090 000236 CAMEL,,x,x,,,
S126-8816 KWS090 000399 SMOKE PINE,,x,x,,,
S126-8816 KWS090 000406 BERRY BLUE,,x,x,,,
S126-8817 KWS059 419008 JET MELANGE,,x,x,,,
S126-8817 KWS059 419406 BERRY BLUE,,x,x,,,
S126-8825 KYS071 000001 BLACK,,x,x,,,
S126-8825 KYS071 000563 MAROON,,x,x,,,
S126-8830 KWS068 000406 BERRY BLUE,,x,x,,,
S126-8830 KWS068 000689 PALE BLUSH,,x,x,,,
S126-8832 KWS054 000001 BLACK,,x,x,,,
S126-8832 KWS054 000398 DESERT SAGE,,x,x,,,
S126-8833 KCS042 351258 TOFFEE,,x,x,,,
S126-8833 KCS042 351406 BERRY BLUE,,x,x,,,
S126-8834 KWS068 000406 BERRY BLUE,,x,x,,,
S126-8834 KWS068 000689 PALE BLUSH,,x,x,,,
S126-8835 KCS018 000067 STORM,,x,x,,,
