Product ID Tag,Handle,CPI,Product ID Not Found in Tracker,No Images in Manifest,Missing Ghost Image,Missing Primary Ghost Image,Inconsistent Filenames,Missing Hero or Model Images,Missing Parent Row,Override to Import,Image Position Override
S126-7689 LLS036 000001 BLACK,abstract-buckle-belt-black,7689-000001,,X,,,,,,,
S126-7689 LUC006 000214 BURNT CYPRESS,abstract-buckle-belt-burnt-cypress,7689-000214,,X,,,,,,,
S126-7689 LLS036 000102 IVORY,abstract-buckle-belt-ivory,7689-000102,,X,,,,,,,
S126-8806 KWS083 000181 BONE,amory-sweater-bone,8806-000181,,X,,,,,,,
S126-8806 KWS083 000008 JET MELANGE,amory-sweater-jet-melange,8806-000008,,X,,,,,,,
S126-4003 BSP032 371102 IVORY GOOSE,arlie-top-ivory-goose,4003-371102,,,,,X,,,x,first
S126-1008 AWM040 000182 TAHINI MELANGE,askania-coat-tahini-melange,1008-000182,,X,,,,,,,
S126-2002 AWS028 000001 BLACK,astley-jacket-black-leather,2002-000001,,,,X,,,,,
S126-2012 LUS003 000265 GOLDEN OAK,astley-jacket-golden-oak,2012-000265,,,,,,X,,,
S126-2002 ACQ011 000397 GREEN LILY,astley-jacket-green-lily,2002-000397,,,,,,X,,,
S126-2012 LLS034 000563 MAROON,astley-jacket-maroon,2012-000563,,X,,,,,,,
S126-3005 BSP032 371182 TAHINI GOOSE,baker-dress-tahini-goose,3005-371182,,X,,,,,,,
S126-7682 LLC053 000001 BLACK PATENT CROC,bean-skinny-belt-black-patent-croc,7682-000001,,X,,,,,,,
S126-7682 LLS036 000102 IVORY,bean-skinny-belt-ivory,7682-000102,,X,,,,,,,
S126-3014 BYP057 373398 DESERT SAGE ANIMAL,birdy-dress-desert-sage-animal,3014-373398,,X,,,,,,,
S126-8805 KWS083 000102 IVORY,buchanan-sweater-ivory,8805-000102,,X,,,,,,,
S126-4007 BYP058 373001 BLACK ANIMAL,cara-top-black-animal,4007-373001,,,,X,,,,,
S126-4007 BYS089 000102 IVORY,cara-top-ivory-spring,4007-000102,,X,,,,,,,
S126-3017 BSP038 417102 IVORY APPLIQUE FLOWERS,carrol-dress-ivory-applique-flowers,3017-417102,,X,,,,,,,
S126-4015 BSP031 418001 BLACK FLOWERS,chika-top-black-flowers,4015-418001,,X,,,,,,,
S126-4015 BYP058 373102 IVORY ANIMAL,chika-top-ivory-animal,4015-373102,,,,,,X,,,
S126-7690 LLS036 000001 BLACK,classic-buckle-belt-black,7690-000001,,X,,,,,,,
S126-7690 LUC004 000265 GOLDEN OAK,classic-buckle-belt-golden-oak,7690-000265,,X,,,,,,,
S126-7690 ELP013 000907 PYTHON,classic-buckle-belt-python,7690-000907,,X,,,,,,,
S126-3029 JYP012 373001 BLACK ANIMAL,claudia-dress-black-animal,3029-373001,,X,,,,,,,
S126-8102 KWS089 000406 BERRY BLUE,conroy-jacket-berry-blue,8102-000406,,X,,,,,,,
S126-8102 KWS089 000258 TOFFEE,conroy-jacket-toffee,8102-000258,,X,,,,,,,
S126-6007 AYS006 000265 GOLDEN OAK,dash-pant-golden-oak,6007-000265,,,,,X,,,,
S126-6007 ACQ011 000397 GREEN LILY,dash-pant-green-lily,6007-000397,,X,,,,,,,
S126-7166 LLS063 000001 BLACK,e-w-mini-tote-black,7166-000001,,X,,,,,,,
S126-7166 LUC006 000563 MAROON,e-w-mini-tote-maroon,7166-000563,,X,,,,,,,
S126-7166 ELP013 000907 PYTHON,e-w-mini-tote-python,7166-000907,,X,,,,,,,
S126-7691 LLS036 000001 BLACK,elongated-studded-buckle-belt-black,7691-000001,,X,,,,,,,
S126-7691 LUC006 000214 BURNT CYPRESS,elongated-studded-buckle-belt-burnt-cypress,7691-000214,,X,,,,,,,
S126-7691 LLS036 000257 SADDLE,elongated-studded-buckle-belt-saddle,7691-000257,,X,,,,,,,
S126-2003 AWS680 000563 MAROON,fenice-jacket-maroon,2003-000563,,X,,,,,,,
S126-3008 BYP058 373102 IVORY ANIMAL,floyd-dress-ivory-animal,3008-373102,,X,,,,,,,
S126-8801 KWS081 421001 BLACK,hamilton-sweater-black,8801-421001,,X,,,,,,,
S126-8832 KWS054 000001 BLACK,harold-sweater-black,8832-000001,,X,,,,,,,
S126-8832 KWS054 000398 DESERT SAGE,harold-sweater-desert-sage,8832-000398,,X,,,,,,,
S126-2021 LLS002 000267 TOBACCO,hayden-jacket-tobacco,2021-000267,,,,,,X,,,
