Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Category (product.metafields.altuzarra.category),Color (product.metafields.altuzarra.color),Details (product.metafields.altuzarra.details),Get the look (product.metafields.altuzarra.look_products),Status
arlie-top-ivory-goose,Arlie Top,,Altuzarra,Apparel & Accessories > Clothing > Shirts & Tops,TOP,"DTC BUY, S126, S126 New Additions, S126-4003 BSP032 371102 IVORY GOOSE, SS26, style_Arlie Top, color_ivory goose, collection_ready-to-wear, collection_tops, collection_new-arrivals",FALSE,Size,34,,Color,Ivory Goose,,,,,840483419902,999.9897389,shopify,deny,manual,1495,,TRUE,TRUE,,,,,840483419902,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-4003_BSP032_371102_IVORY_GOOSE_FINAL_ghost_0476.jpg,1,,FALSE,Arlie Top,,Apparel & Accessories > Clothing > Shirts & Tops,female,adult,,NEW,FALSE,TOP,S126,S126-4003 BSP032 371102 IVORY GOOSE,,,,ivory,- 100% Silk. Made In Italy,,active
arlie-top-ivory-goose,,,,,,,,,36,,,Ivory Goose,,,,,840483419919,999.9897389,shopify,deny,manual,1495,,TRUE,TRUE,,,,,840483419919,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-4003_BSP032_371102_IVORY_GOOSE_FINAL_hero_image__017.jpg,2,,,,,,,,,,,,,,,,,,,,
arlie-top-ivory-goose,,,,,,,,,38,,,Ivory Goose,,,,,840483419926,999.9897389,shopify,deny,manual,1495,,TRUE,TRUE,,,,,840483419926,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-4003_BSP032_371102_IVORY_GOOSE_FINAL_model_image_1_003.jpg,3,,,,,,,,,,,,,,,,,,,,
arlie-top-ivory-goose,,,,,,,,,40,,,Ivory Goose,,,,,840483419933,999.9897389,shopify,deny,manual,1495,,TRUE,TRUE,,,,,840483419933,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-4003_BSP032_371102_IVORY_GOOSE_FINAL_model_image_2_008.jpg,4,,,,,,,,,,,,,,,,,,,,
arlie-top-ivory-goose,,,,,,,,,42,,,Ivory Goose,,,,,840483419940,999.9897389,shopify,deny,manual,1495,,TRUE,TRUE,,,,,840483419940,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-4003_BSP032_371102_IVORY_GOOSE_FINAL_model_image_3_036.jpg,5,,,,,,,,,,,,,,,,,,,,
arlie-top-ivory-goose,,,,,,,,,44,,,Ivory Goose,,,,,840483419957,999.9897389,shopify,deny,manual,1495,,TRUE,TRUE,,,,,840483419957,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-4003_BSP032_371102_IVORY_GOOSE_FINAL_model_image_4_015.jpg,6,,,,,,,,,,,,,,,,,,,,
arlie-top-ivory-goose,,,,,,,,,46,,,Ivory Goose,,,,,840483419964,999.9897389,shopify,deny,manual,1495,,TRUE,TRUE,,,,,840483419964,,,,,,,,,,,,,,,,,,,,,,
ty-sweater-pale-blush,Ty Sweater,"<p>The Ty Sweater is an understated design that can be styled multiple ways. It's spun from a soft wool and alpaca-blend to a close-fitting silhouette that falls to a ribbed hem, then it's finished with a round neckline and half sleeves.</p>",Altuzarra,Apparel & Accessories > Clothing > Shirts & Tops,KNIT TOP,"DTC BUY, S126, S126-8834 KWS068 000689 PALE BLUSH, SS26, style_Ty Sweater, color_pale blush, collection_ready-to-wear, collection_knitwear, collection_tops, collection_new-arrivals",FALSE,Size,XS,,Color,Pale Blush,,,,,840483423923,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423923,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000689_PALE_BLUSH_FINAL_ghost_00968.jpg,1,,FALSE,Ty Sweater in Pale Blush,"The Ty Sweater is an understated design that can be styled multiple ways. It's spun from a soft wool and alpaca-blend to a close-fitting silhouette that falls to a ribbed hem, then it's finished with a round neckline and half sleeves.",Apparel & Accessories > Clothing > Shirts & Tops,female,adult,,NEW,FALSE,KNIT TOP,S126,S126-8834 KWS068 000689 PALE BLUSH,,,,red,- 50% Extrafine Merino Wool 20% Alpaca 30% Polyamide. Made In Italy,,active
ty-sweater-pale-blush,,,,,,,,,S,,,Pale Blush,,,,,840483423930,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423930,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000689_PALE_BLUSH_FINAL_hero_image__030.jpg,2,,,,,,,,,,,,,,,,,,,,
ty-sweater-pale-blush,,,,,,,,,M,,,Pale Blush,,,,,840483423947,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423947,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000689_PALE_BLUSH_FINAL_model_image_2_014.jpg,3,,,,,,,,,,,,,,,,,,,,
